Name	quant_method	tally_method	input_file	NumReads
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	ALLtRNAseq_hESC_0_1	1873.71
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	ALLtRNAseq_hESC_0_2	1119.58
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	ALLtRNAseq_hESC_0_3	1671.022
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	ALLtRNAseq_hESC_5_1	962.043
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	ALLtRNAseq_hESC_5_2	772.0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	ALLtRNAseq_hESC_5_3	2606.0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	DMtRNAseq_treated_1	33649.845
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	DMtRNAseq_treated_2	16560.938
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	YAMATseq_BT20_A	86.0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	YAMATseq_BT20_B	41.0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	YAMATseq_BT20_C	60.0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	YAMATseq_MCF7_A	31.0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	YAMATseq_MCF7_B	41.446
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	bowtie2	salmon	YAMATseq_MCF7_C	29.008
