Name	input_file	simulation_n	truth	NumReads	quant_method	tally_method
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	0	0	2	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	1	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	3	5	4	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	4	1	1	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	5	18	15	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	6	45	42	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	7	1	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	8	1	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_1	9	91	81	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	0	0	1	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	1	0	1	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	2	453	393	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	3	8	13	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	4	42	36	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	5	4	4	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	6	2	2	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	7	0	2	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	8	1	8	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_2	9	433	350	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	0	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	1	277	241	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	2	1	1	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	3	4	7	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	4	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	5	402	351	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	6	3	15	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	7	14387	12581	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	8	1692	1462	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_0_3	9	3	3	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	0	5	4	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	1	8	14	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	2	13	11	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	3	16	16	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	4	5	5	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	5	1091	911	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	6	237	207	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	7	1	4	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	8	2	2	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_1	9	2407	1992	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	0	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	1	11	8	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	3	5	5	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	4	15	13	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	5	4	6	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	6	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	7	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	8	3	2	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_2	9	16	12	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	0	6	6	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	1	54	46	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	3	3	5	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	4	0	1	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	5	17	16	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	6	23	21	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	7	0	2	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	8	91	82	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	ALLtRNAseq_hESC_5_3	9	41	40	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_1	0	4	4	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_1	1	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_1	2	13	13	mimseq	mimseq
