alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
multiple	single	correct	301304	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
multiple	single	incorrect	333	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
multiple	multiple	incorrect	83478	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
single	single	correct	573025	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
single	single	incorrect	2256	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
multiple	single	correct	179432	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
multiple	single	incorrect	137	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
multiple	multiple	incorrect	11131	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
single	single	correct	508411	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
single	single	incorrect	283	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
multiple	single	correct	122805	quantMtRNAseq_Cerebellum_tRNA_1	1	bowtie2
multiple	single	incorrect	278	quantMtRNAseq_Cerebellum_tRNA_1	1	bowtie2
multiple	multiple	incorrect	62343	quantMtRNAseq_Cerebellum_tRNA_1	1	bowtie2
single	single	correct	797989	quantMtRNAseq_Cerebellum_tRNA_1	1	bowtie2
single	single	incorrect	812	quantMtRNAseq_Cerebellum_tRNA_1	1	bowtie2
multiple	single	correct	70019	quantMtRNAseq_Cerebellum_tRNA_1	1	shrimp
multiple	single	incorrect	133	quantMtRNAseq_Cerebellum_tRNA_1	1	shrimp
multiple	multiple	incorrect	9414	quantMtRNAseq_Cerebellum_tRNA_1	1	shrimp
single	single	correct	631449	quantMtRNAseq_Cerebellum_tRNA_1	1	shrimp
single	single	incorrect	278	quantMtRNAseq_Cerebellum_tRNA_1	1	shrimp
multiple	single	correct	547866	quantMtRNAseq_Cerebellum_tRNA_1	2	bowtie2
multiple	single	incorrect	682	quantMtRNAseq_Cerebellum_tRNA_1	2	bowtie2
multiple	multiple	incorrect	226655	quantMtRNAseq_Cerebellum_tRNA_1	2	bowtie2
single	single	incorrect	2306	quantMtRNAseq_Cerebellum_tRNA_1	2	bowtie2
single	single	correct	151659	quantMtRNAseq_Cerebellum_tRNA_1	2	bowtie2
multiple	single	correct	436042	quantMtRNAseq_Cerebellum_tRNA_1	2	shrimp
multiple	single	incorrect	347	quantMtRNAseq_Cerebellum_tRNA_1	2	shrimp
multiple	multiple	incorrect	18064	quantMtRNAseq_Cerebellum_tRNA_1	2	shrimp
single	single	correct	107671	quantMtRNAseq_Cerebellum_tRNA_1	2	shrimp
single	single	incorrect	661	quantMtRNAseq_Cerebellum_tRNA_1	2	shrimp
multiple	single	correct	627338	quantMtRNAseq_Cerebellum_tRNA_1	3	bowtie2
multiple	single	incorrect	677	quantMtRNAseq_Cerebellum_tRNA_1	3	bowtie2
multiple	multiple	incorrect	129993	quantMtRNAseq_Cerebellum_tRNA_1	3	bowtie2
single	single	correct	220319	quantMtRNAseq_Cerebellum_tRNA_1	3	bowtie2
single	single	incorrect	2122	quantMtRNAseq_Cerebellum_tRNA_1	3	bowtie2
multiple	single	correct	346196	quantMtRNAseq_Cerebellum_tRNA_1	3	shrimp
multiple	single	incorrect	218	quantMtRNAseq_Cerebellum_tRNA_1	3	shrimp
multiple	multiple	incorrect	16438	quantMtRNAseq_Cerebellum_tRNA_1	3	shrimp
single	single	correct	157125	quantMtRNAseq_Cerebellum_tRNA_1	3	shrimp
single	single	incorrect	265	quantMtRNAseq_Cerebellum_tRNA_1	3	shrimp
single	single	correct	42616	quantMtRNAseq_Cerebellum_tRNA_1	4	bowtie2
single	single	incorrect	290	quantMtRNAseq_Cerebellum_tRNA_1	4	bowtie2
multiple	single	correct	941590	quantMtRNAseq_Cerebellum_tRNA_1	4	bowtie2
multiple	single	incorrect	67	quantMtRNAseq_Cerebellum_tRNA_1	4	bowtie2
multiple	multiple	incorrect	13429	quantMtRNAseq_Cerebellum_tRNA_1	4	bowtie2
single	single	correct	34887	quantMtRNAseq_Cerebellum_tRNA_1	4	shrimp
single	single	incorrect	216	quantMtRNAseq_Cerebellum_tRNA_1	4	shrimp
multiple	single	correct	924212	quantMtRNAseq_Cerebellum_tRNA_1	4	shrimp
multiple	single	incorrect	40	quantMtRNAseq_Cerebellum_tRNA_1	4	shrimp
multiple	multiple	incorrect	2025	quantMtRNAseq_Cerebellum_tRNA_1	4	shrimp
multiple	single	correct	345718	quantMtRNAseq_Cerebellum_tRNA_1	5	bowtie2
multiple	single	incorrect	687	quantMtRNAseq_Cerebellum_tRNA_1	5	bowtie2
multiple	multiple	incorrect	264900	quantMtRNAseq_Cerebellum_tRNA_1	5	bowtie2
single	single	incorrect	5801	quantMtRNAseq_Cerebellum_tRNA_1	5	bowtie2
single	single	correct	363025	quantMtRNAseq_Cerebellum_tRNA_1	5	bowtie2
multiple	single	correct	246413	quantMtRNAseq_Cerebellum_tRNA_1	5	shrimp
multiple	single	incorrect	82	quantMtRNAseq_Cerebellum_tRNA_1	5	shrimp
multiple	multiple	incorrect	8754	quantMtRNAseq_Cerebellum_tRNA_1	5	shrimp
single	single	correct	229990	quantMtRNAseq_Cerebellum_tRNA_1	5	shrimp
single	single	incorrect	354	quantMtRNAseq_Cerebellum_tRNA_1	5	shrimp
multiple	multiple	incorrect	98720	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2
multiple	single	correct	566607	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2
multiple	single	incorrect	249	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2
single	single	correct	277866	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2
single	single	incorrect	1464	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2
multiple	single	correct	305676	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
multiple	single	incorrect	119	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
multiple	multiple	incorrect	16912	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
single	single	correct	199759	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
single	single	incorrect	193	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
single	single	correct	196823	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
single	single	incorrect	2146	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
multiple	multiple	incorrect	89231	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
multiple	single	correct	687929	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
multiple	single	incorrect	134	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
single	single	correct	142958	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
single	single	incorrect	101	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
multiple	multiple	incorrect	3529	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
multiple	single	correct	321609	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
multiple	single	incorrect	59	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
multiple	single	correct	403378	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
multiple	single	incorrect	233	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
multiple	multiple	incorrect	261624	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
single	single	correct	260710	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
single	single	incorrect	2137	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
multiple	single	correct	296103	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
multiple	single	incorrect	113	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
multiple	multiple	incorrect	74679	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
single	single	correct	200678	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
single	single	incorrect	617	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
multiple	multiple	incorrect	142050	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
multiple	single	correct	409270	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
multiple	single	incorrect	484	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
single	single	correct	293917	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
single	single	incorrect	2801	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
