Name	input_file	simulation_n	truth	NumReads	quant_method	tally_method
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	0	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	1	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	3	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	4	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	5	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	6	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	7	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	8	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_1	9	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	0	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	1	0	5	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	3	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	4	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	5	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	6	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	7	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	8	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_2	9	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	0	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	1	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	3	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	4	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	5	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	6	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	7	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	8	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cerebellum_tRNA_3	9	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	0	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	1	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	3	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	4	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	5	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	6	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	7	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	8	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_1	9	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	0	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	1	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	3	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	4	0	1	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	5	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	6	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	7	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	8	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_2	9	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	0	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	1	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	2	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	3	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	4	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	5	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	6	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	7	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	8	0	0	mimseq	mimseq
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	quantMtRNAseq_Cortex_tRNA_3	9	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	0	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	1	31	30	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	2	58	58	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	3	18	17	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	4	3	3	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	5	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	6	809	800	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	7	3166	3129	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	8	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_1	9	27	27	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_2	0	0	0	mimseq	mimseq
