Name	simulation_n	quant_method	tally_method	input_file	NumReads	truth
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_1	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_3	7.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_1	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_2	2.004	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_3	1.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	quantMtRNAseq_Cerebellum_tRNA_1	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	quantMtRNAseq_Cerebellum_tRNA_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	quantMtRNAseq_Cerebellum_tRNA_3	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	quantMtRNAseq_Cortex_tRNA_1	1.708	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	quantMtRNAseq_Cortex_tRNA_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	quantMtRNAseq_Cortex_tRNA_3	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_1	1.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_2	18.048	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_3	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_1	1.01	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_3	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	shrimp	salmon	quantMtRNAseq_Cerebellum_tRNA_1	2.011	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	shrimp	salmon	quantMtRNAseq_Cerebellum_tRNA_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	shrimp	salmon	quantMtRNAseq_Cerebellum_tRNA_3	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	shrimp	salmon	quantMtRNAseq_Cortex_tRNA_1	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	shrimp	salmon	quantMtRNAseq_Cortex_tRNA_2	7.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	1	shrimp	salmon	quantMtRNAseq_Cortex_tRNA_3	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	2	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_1	4.014	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	2	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	2	bowtie2	salmon	quantMtRNAseq_Cerebellum_tRNA_3	4.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	2	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_1	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	2	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	2	bowtie2	salmon	quantMtRNAseq_Cortex_tRNA_3	1.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	2	shrimp	salmon	quantMtRNAseq_Cerebellum_tRNA_1	2.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	2	shrimp	salmon	quantMtRNAseq_Cerebellum_tRNA_2	2.0	0
