modomics_position	fasta_position	modification	fasta_entry
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-8-1
16	16	D	Homo_sapiens_tRNA-Ala-AGC-8-1
19	19	D	Homo_sapiens_tRNA-Ala-AGC-8-1
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-8-1
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-8-1
33	33	I	Homo_sapiens_tRNA-Ala-AGC-8-1
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-8-1
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-8-1
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-8-1
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-8-1
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-8-1
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-8-1
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-11-1
16	16	D	Homo_sapiens_tRNA-Ala-AGC-11-1
19	19	D	Homo_sapiens_tRNA-Ala-AGC-11-1
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-11-1
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-11-1
33	33	I	Homo_sapiens_tRNA-Ala-AGC-11-1
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-11-1
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-11-1
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-11-1
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-11-1
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-11-1
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-11-1
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-8-2
16	16	D	Homo_sapiens_tRNA-Ala-AGC-8-2
19	19	D	Homo_sapiens_tRNA-Ala-AGC-8-2
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-8-2
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-8-2
33	33	I	Homo_sapiens_tRNA-Ala-AGC-8-2
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-8-2
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-8-2
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-8-2
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-8-2
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-8-2
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-8-2
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-15-1
16	16	D	Homo_sapiens_tRNA-Ala-AGC-15-1
19	19	D	Homo_sapiens_tRNA-Ala-AGC-15-1
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-15-1
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-15-1
33	33	I	Homo_sapiens_tRNA-Ala-AGC-15-1
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-15-1
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-15-1
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-15-1
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-15-1
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-15-1
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-15-1
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-8-1
16	16	D	Homo_sapiens_tRNA-Ala-AGC-8-1
19	19	D	Homo_sapiens_tRNA-Ala-AGC-8-1
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-8-1
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-8-1
33	33	I	Homo_sapiens_tRNA-Ala-AGC-8-1
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-8-1
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-8-1
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-8-1
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-8-1
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-8-1
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-8-1
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-11-1
16	16	D	Homo_sapiens_tRNA-Ala-AGC-11-1
19	19	D	Homo_sapiens_tRNA-Ala-AGC-11-1
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-11-1
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-11-1
33	33	I	Homo_sapiens_tRNA-Ala-AGC-11-1
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-11-1
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-11-1
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-11-1
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-11-1
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-11-1
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-11-1
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-9-1
19	19	D	Homo_sapiens_tRNA-Ala-AGC-9-1
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-9-1
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-9-1
33	33	I	Homo_sapiens_tRNA-Ala-AGC-9-1
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-9-1
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-9-1
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-9-1
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-9-1
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-9-1
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-9-1
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-9-2
19	19	D	Homo_sapiens_tRNA-Ala-AGC-9-2
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-9-2
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-9-2
33	33	I	Homo_sapiens_tRNA-Ala-AGC-9-2
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-9-2
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-9-2
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-9-2
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-9-2
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-9-2
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-9-2
9	9	m2G	Homo_sapiens_tRNA-Ala-AGC-8-2
16	16	D	Homo_sapiens_tRNA-Ala-AGC-8-2
19	19	D	Homo_sapiens_tRNA-Ala-AGC-8-2
25	25	m2,2G	Homo_sapiens_tRNA-Ala-AGC-8-2
31	31	Um	Homo_sapiens_tRNA-Ala-AGC-8-2
33	33	I	Homo_sapiens_tRNA-Ala-AGC-8-2
36	36	m1I	Homo_sapiens_tRNA-Ala-AGC-8-2
37	37	Y	Homo_sapiens_tRNA-Ala-AGC-8-2
38	38	Gm	Homo_sapiens_tRNA-Ala-AGC-8-2
45	45	m7G	Homo_sapiens_tRNA-Ala-AGC-8-2
54	54	Y	Homo_sapiens_tRNA-Ala-AGC-8-2
57	57	m1A	Homo_sapiens_tRNA-Ala-AGC-8-2
9	9	m2G	Homo_sapiens_tRNA-Glu-TTC-14-1
