Name	input_file	simulation_n	quant_method	tally_method	NumReads	truth
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_1	0	bowtie2	no_multi	1535.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_1	0	shrimp	no_multi	1441.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_2	0	bowtie2	no_multi	1510.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_2	0	shrimp	no_multi	1389.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_3	0	bowtie2	no_multi	1538.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_3	0	shrimp	no_multi	1399.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_1	0	bowtie2	no_multi	1498.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_1	0	shrimp	no_multi	1391.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_2	0	bowtie2	no_multi	1439.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_2	0	shrimp	no_multi	1337.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_3	0	bowtie2	no_multi	1549.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_3	0	shrimp	no_multi	1376.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_1	0	bowtie2	no_multi	1665.0	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_1	0	shrimp	no_multi	1666.0	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_2	0	bowtie2	no_multi	1692.0	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_2	0	shrimp	no_multi	1674.0	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_A	0	bowtie2	no_multi	1413.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_A	0	shrimp	no_multi	1008.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_B	0	bowtie2	no_multi	1473.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_B	0	shrimp	no_multi	1006.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_C	0	bowtie2	no_multi	1450.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_C	0	shrimp	no_multi	960.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_A	0	bowtie2	no_multi	1434.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_A	0	shrimp	no_multi	952.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_B	0	bowtie2	no_multi	1374.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_B	0	shrimp	no_multi	760.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_C	0	bowtie2	no_multi	1372.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_C	0	shrimp	no_multi	919.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_A	0	bowtie2	no_multi	1453.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_A	0	shrimp	no_multi	890.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_B	0	bowtie2	no_multi	1332.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_B	0	shrimp	no_multi	924.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_C	0	bowtie2	no_multi	1507.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_C	0	shrimp	no_multi	890.0	1961
