Name	simulation_n	quant_method	tally_method	input_file	NumReads	truth
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	ALLtRNAseq_hESC_0_1	1576.829	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	ALLtRNAseq_hESC_0_2	1579.406	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	ALLtRNAseq_hESC_0_3	1582.884	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	ALLtRNAseq_hESC_5_1	1576.413	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	ALLtRNAseq_hESC_5_2	1503.332	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	ALLtRNAseq_hESC_5_3	1646.572	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	DMtRNAseq_treated_1	1680.645	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	DMtRNAseq_treated_2	1701.766	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_BT20_A	1446.925	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_BT20_B	1499.905	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_BT20_C	1502.212	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_MCF7_A	1455.59	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_MCF7_B	1405.083	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_MCF7_C	1394.199	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_SKBR3_A	1564.17	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_SKBR3_B	1379.816	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	YAMATseq_SKBR3_C	1576.409	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	mimtRNAseq_Hsap_HEK293T_rep1	1835.088	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	mimtRNAseq_Hsap_HEK293T_rep2	1770.697	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	mimtRNAseq_Hsap_K562_rep1	1898.878	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	mimtRNAseq_Hsap_K562_rep2	1782.536	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	mimtRNAseq_Hsap_iPSC_rep1	1765.145	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	bowtie2	salmon	mimtRNAseq_Hsap_iPSC_rep2	1783.082	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	ALLtRNAseq_hESC_0_1	1442.75	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	ALLtRNAseq_hESC_0_2	1391.194	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	ALLtRNAseq_hESC_0_3	1400.651	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	ALLtRNAseq_hESC_5_1	1392.06	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	ALLtRNAseq_hESC_5_2	1338.02	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	ALLtRNAseq_hESC_5_3	1376.571	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	DMtRNAseq_treated_1	1666.731	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	DMtRNAseq_treated_2	1675.784	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_BT20_A	1011.387	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_BT20_B	1007.078	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_BT20_C	960.72	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_MCF7_A	953.637	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_MCF7_B	760.442	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_MCF7_C	921.917	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_SKBR3_A	890.834	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_SKBR3_B	925.451	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	YAMATseq_SKBR3_C	893.069	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	mimtRNAseq_Hsap_HEK293T_rep1	1744.426	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	mimtRNAseq_Hsap_HEK293T_rep2	1743.0	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	mimtRNAseq_Hsap_K562_rep1	1737.0	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	mimtRNAseq_Hsap_K562_rep2	1723.0	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	mimtRNAseq_Hsap_iPSC_rep1	1736.0	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	0	shrimp	salmon	mimtRNAseq_Hsap_iPSC_rep2	1761.72	1764
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	ALLtRNAseq_hESC_0_1	1655.0	1656
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	ALLtRNAseq_hESC_0_2	1656.0	1656
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	ALLtRNAseq_hESC_0_3	1656.0	1656
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	ALLtRNAseq_hESC_5_1	1656.0	1656
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	ALLtRNAseq_hESC_5_2	1656.0	1656
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	ALLtRNAseq_hESC_5_3	1656.0	1656
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	DMtRNAseq_treated_1	1679.0	1678
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	DMtRNAseq_treated_2	1678.0	1678
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_BT20_A	1960.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_BT20_B	1961.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_BT20_C	1960.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_MCF7_A	1961.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_MCF7_B	1960.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_MCF7_C	1961.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_SKBR3_A	1961.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_SKBR3_B	1961.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	YAMATseq_SKBR3_C	1961.0	1961
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	mimtRNAseq_Hsap_HEK293T_rep1	1763.0	1764
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	mimtRNAseq_Hsap_HEK293T_rep2	1764.0	1764
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	mimtRNAseq_Hsap_K562_rep1	1763.0	1764
Homo_sapiens_MTtRNA-Ala-TGC-1	0	bowtie2	salmon	mimtRNAseq_Hsap_K562_rep2	1764.0	1764
