Name	simulation_n	quant_method	tally_method	input_file	NumReads	truth
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	ALLtRNAseq_hESC_0_1	4.011	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	ALLtRNAseq_hESC_0_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	ALLtRNAseq_hESC_0_3	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	ALLtRNAseq_hESC_5_1	4.082	5
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	ALLtRNAseq_hESC_5_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	ALLtRNAseq_hESC_5_3	6.181	6
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	DMtRNAseq_treated_1	31262.339	31361
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	DMtRNAseq_treated_2	1.002	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_BT20_A	4.0	4
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_BT20_B	83.075	99
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_BT20_C	671.444	885
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_MCF7_A	1.001	2
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_MCF7_B	269.631	376
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_MCF7_C	82.493	10
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_SKBR3_A	3753.244	4698
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_SKBR3_B	163.443	220
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	YAMATseq_SKBR3_C	6.075	1
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	mimtRNAseq_Hsap_HEK293T_rep1	4.002	4
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	mimtRNAseq_Hsap_HEK293T_rep2	634.737	633
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	mimtRNAseq_Hsap_K562_rep1	1833.173	1831
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	mimtRNAseq_Hsap_K562_rep2	4.059	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	mimtRNAseq_Hsap_iPSC_rep1	1.0	1
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	bowtie2	salmon	mimtRNAseq_Hsap_iPSC_rep2	68.0	68
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	ALLtRNAseq_hESC_0_1	9.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	ALLtRNAseq_hESC_0_2	1.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	ALLtRNAseq_hESC_0_3	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	ALLtRNAseq_hESC_5_1	5.0	5
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	ALLtRNAseq_hESC_5_2	2.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	ALLtRNAseq_hESC_5_3	7.0	6
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	DMtRNAseq_treated_1	30938.955	31361
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	DMtRNAseq_treated_2	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	YAMATseq_BT20_A	2.0	4
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	YAMATseq_BT20_B	116.029	99
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	YAMATseq_BT20_C	432.975	885
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	YAMATseq_MCF7_A	1.0	2
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	YAMATseq_MCF7_B	147.0	376
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT	0	shrimp	salmon	YAMATseq_MCF7_C	6.0	10
