Name	input_file	simulation_n	quant_method	tally_method	NumReads	truth
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_1	0	bowtie2	fractional	1562.733746370585	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_1	0	shrimp	fractional	1442.5833333333333	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_2	0	bowtie2	fractional	1550.7705267670526	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_2	0	shrimp	fractional	1390.1838235294117	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_3	0	bowtie2	fractional	1560.6638942483876	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_3	0	shrimp	fractional	1400.5000000000002	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_1	0	bowtie2	fractional	1562.6024897684042	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_1	0	shrimp	fractional	1392.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_2	0	bowtie2	fractional	1489.683409839759	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_2	0	shrimp	fractional	1338.1111111111113	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_3	0	bowtie2	fractional	1655.5919466553814	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_3	0	shrimp	fractional	1376.8333333333337	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_1	0	bowtie2	fractional	1672.3454656454642	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_1	0	shrimp	fractional	1666.5333333333333	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_2	0	bowtie2	fractional	1703.3718004217974	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_2	0	shrimp	fractional	1675.5095238095237	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_A	0	bowtie2	fractional	1440.9814546564523	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_A	0	shrimp	fractional	1012.5095238095238	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_B	0	bowtie2	fractional	1493.5510850260823	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_B	0	shrimp	fractional	1007.3102564102564	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_C	0	bowtie2	fractional	1495.4628393807063	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_C	0	shrimp	fractional	961.1666666666666	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_A	0	bowtie2	fractional	1458.5061258186226	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_A	0	shrimp	fractional	954.3333333333334	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_B	0	bowtie2	fractional	1402.5335326509223	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_B	0	shrimp	fractional	760.8095238095239	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_C	0	bowtie2	fractional	1399.2120655488272	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_MCF7_C	0	shrimp	fractional	924.1940799396684	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_A	0	bowtie2	fractional	1576.5380256252497	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_A	0	shrimp	fractional	891.1666666666667	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_B	0	bowtie2	fractional	1384.3178487433208	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_B	0	shrimp	fractional	926.1333333333334	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_C	0	bowtie2	fractional	1584.329568066193	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_SKBR3_C	0	shrimp	fractional	893.5197802197803	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_HEK293T_rep1	0	bowtie2	fractional	1812.8361111111767	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_HEK293T_rep1	0	shrimp	fractional	1744.3428571428572	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_HEK293T_rep2	0	bowtie2	fractional	1772.9696026196036	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_HEK293T_rep2	0	shrimp	fractional	1743.0	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_K562_rep1	0	bowtie2	fractional	1872.0699785580464	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_K562_rep1	0	shrimp	fractional	1737.0	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_K562_rep2	0	bowtie2	fractional	1793.8179401993384	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_K562_rep2	0	shrimp	fractional	1723.0	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_iPSC_rep1	0	bowtie2	fractional	1765.8601634683753	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_iPSC_rep1	0	shrimp	fractional	1736.0	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_iPSC_rep2	0	bowtie2	fractional	1782.163528138533	1764
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	mimtRNAseq_Hsap_iPSC_rep2	0	shrimp	fractional	1761.1	1764
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_0_1	0	bowtie2	fractional	1655.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_0_1	0	shrimp	fractional	1649.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_0_2	0	bowtie2	fractional	1656.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_0_2	0	shrimp	fractional	1651.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_0_3	0	bowtie2	fractional	1656.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_0_3	0	shrimp	fractional	1651.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_5_1	0	bowtie2	fractional	1656.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_5_1	0	shrimp	fractional	1651.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_5_2	0	bowtie2	fractional	1656.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_5_2	0	shrimp	fractional	1652.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_5_3	0	bowtie2	fractional	1656.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	ALLtRNAseq_hESC_5_3	0	shrimp	fractional	1654.0	1656
Homo_sapiens_mito_tRNA-Ala-TGC-1	DMtRNAseq_treated_1	0	bowtie2	fractional	1679.0	1678
Homo_sapiens_mito_tRNA-Ala-TGC-1	DMtRNAseq_treated_1	0	shrimp	fractional	1673.0	1678
Homo_sapiens_mito_tRNA-Ala-TGC-1	DMtRNAseq_treated_2	0	bowtie2	fractional	1678.0	1678
Homo_sapiens_mito_tRNA-Ala-TGC-1	DMtRNAseq_treated_2	0	shrimp	fractional	1674.0	1678
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_BT20_A	0	bowtie2	fractional	1960.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_BT20_A	0	shrimp	fractional	1802.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_BT20_B	0	bowtie2	fractional	1963.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_BT20_B	0	shrimp	fractional	1780.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_BT20_C	0	bowtie2	fractional	1960.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_BT20_C	0	shrimp	fractional	1793.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_MCF7_A	0	bowtie2	fractional	1961.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_MCF7_A	0	shrimp	fractional	1957.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_MCF7_B	0	bowtie2	fractional	1961.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_MCF7_B	0	shrimp	fractional	1957.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_MCF7_C	0	bowtie2	fractional	1961.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_MCF7_C	0	shrimp	fractional	1958.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_SKBR3_A	0	bowtie2	fractional	1962.0	1961
Homo_sapiens_mito_tRNA-Ala-TGC-1	YAMATseq_SKBR3_A	0	shrimp	fractional	1927.0	1961
