Name	input_file	simulation_n	quant_method	tally_method	NumReads	truth
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_1	0	bowtie2	decision	1535.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_1	0	shrimp	decision	1441.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_2	0	bowtie2	decision	1510.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_2	0	shrimp	decision	1389.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_3	0	bowtie2	decision	1538.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_0_3	0	shrimp	decision	1399.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_1	0	bowtie2	decision	1498.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_1	0	shrimp	decision	1391.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_2	0	bowtie2	decision	1439.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_2	0	shrimp	decision	1337.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_3	0	bowtie2	decision	1549.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	ALLtRNAseq_hESC_5_3	0	shrimp	decision	1376.0	1656
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_1	0	bowtie2	decision	1665.0	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_1	0	shrimp	decision	1666.0	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_2	0	bowtie2	decision	1692.0	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	DMtRNAseq_treated_2	0	shrimp	decision	1674.0	1678
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_A	0	bowtie2	decision	1413.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_A	0	shrimp	decision	1008.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_B	0	bowtie2	decision	1473.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_B	0	shrimp	decision	1006.0	1961
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	YAMATseq_BT20_C	0	bowtie2	decision	1450.0	1961
