quant_method	start	total_frequency
quantMtRNAseq	0	1522857295
quantMtRNAseq	1	58876341
quantMtRNAseq	2	16974659
quantMtRNAseq	3	36183234
quantMtRNAseq	4	21699024
quantMtRNAseq	5	13553345
quantMtRNAseq	6	144145022
quantMtRNAseq	7	72247022
quantMtRNAseq	8	16047717
quantMtRNAseq	9	469587309
quantMtRNAseq	10	36426235
quantMtRNAseq	11	33988993
quantMtRNAseq	12	21081427
quantMtRNAseq	13	75331306
quantMtRNAseq	14	5764537
quantMtRNAseq	15	28383844
quantMtRNAseq	16	13339818
quantMtRNAseq	17	39675374
quantMtRNAseq	18	42361332
quantMtRNAseq	19	102741839
quantMtRNAseq	20	71874142
quantMtRNAseq	21	115382181
quantMtRNAseq	22	34486313
quantMtRNAseq	23	145017672
quantMtRNAseq	24	139585619
quantMtRNAseq	25	172031407
quantMtRNAseq	26	469530202
quantMtRNAseq	27	289395763
quantMtRNAseq	28	48200247
quantMtRNAseq	29	41417865
quantMtRNAseq	30	83030584
quantMtRNAseq	31	48970486
quantMtRNAseq	32	166107673
quantMtRNAseq	33	121773111
quantMtRNAseq	34	215910416
quantMtRNAseq	35	419848912
quantMtRNAseq	36	433885249
quantMtRNAseq	37	762925257
quantMtRNAseq	38	59666932
quantMtRNAseq	39	81970401
quantMtRNAseq	40	153091199
quantMtRNAseq	41	147939535
quantMtRNAseq	42	86179051
quantMtRNAseq	43	56165010
quantMtRNAseq	44	39746097
quantMtRNAseq	45	32032516
quantMtRNAseq	46	31444597
quantMtRNAseq	47	64923065
quantMtRNAseq	48	44464000
quantMtRNAseq	49	94924523
quantMtRNAseq	50	52918824
quantMtRNAseq	51	66156212
quantMtRNAseq	52	22730507
quantMtRNAseq	53	117698233
quantMtRNAseq	54	59239938
quantMtRNAseq	55	729413671
quantMtRNAseq	56	298110411
quantMtRNAseq	57	1120348541
quantMtRNAseq	58	399411716
quantMtRNAseq	59	253511606
quantMtRNAseq	60	3995860
quantMtRNAseq	61	2910804
quantMtRNAseq	62	3343901
quantMtRNAseq	63	3535818
quantMtRNAseq	64	4012361
quantMtRNAseq	65	326066142
quantMtRNAseq	66	150782728
quantMtRNAseq	67	556992292
quantMtRNAseq	68	236568111
quantMtRNAseq	69	1410517
quantMtRNAseq	70	4309078
quantMtRNAseq	71	3564978
quantMtRNAseq	72	7193241
quantMtRNAseq	73	2497131
quantMtRNAseq	74	8816773
quantMtRNAseq	75	4554536
quantMtRNAseq	76	2804220
quantMtRNAseq	77	234708
quantMtRNAseq	78	9132539
quantMtRNAseq	79	646385
quantMtRNAseq	80	5776284
quantMtRNAseq	81	435994
